scramble,orientation,cross,corner_fr,corner_fl,corner_bl,corner_br,edge_fr,edge_fl,edge_bl,edge_br,EO,CO,CP,ep,total_moves
L B2 L' R B2 U2 D2 B' F2 L R F B L2 F' R' F2 U' F U' D2 L D2 L',x2,R2 B' F' L' R',B U' B',B' U B,R' F R2 U R' F',F' U' F,L2 D' B L U' L' U B2 D,L' D2 B' R B D2 L,L' U2 B' U2 B U2 L,R' U2 B' R2 B U2 R,L' U' B' U B L,R2 D' L F2 L' D R U2 R,B2 U B2 L' B R D B' D' L B R' B',B2 U' L' R B2 L R' U' B2,87
B R' L2 B' L2 R' F2 R' B' L' U2 L2 B' F' R2 F D2 R' U2 L,x2,B L2 U2 R2,B2 R B2 R',B' R' U2 R B,F2 L F2 L',F' U F,R' B' R' B U R,B' U2 R' U2 R U2 B,B2 D2 F' D2 B2,B' R2 U' R U R2 B,R B U B' U' R',F U2 F' U' F U' F',B2 R2 B' L' B R2 B' L B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,79
L U' F' D' F2 R' F R F2 U' B R2 D2 F R B2 D R D' L U,x2,B2 L2 F R B L',R' U B' R2 B R,L U L',L' R U L R',R B' R B R2,B2 U2 B U2 B2,R2 D U B D' U' R2,U' B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R' U' F' U F R,R2 D' L F2 L' D R U2 R,B2 R2 B' L' B R2 B' L B',,76
D B' D2 B2 U2 F' L R' F R' F' U' B' L' D' U F2 U B2 U' D' R2,x2,R D F L',F R' F2 U' F R,B' R U' R' B,L' U B' U2 B L,R U' R',L2 D2 R' D2 L2,B' U2 R' U' R U2 B,U' B2 D2 F D2 B2,L' B2 D' R D B2 L,R B U B' U' R',R U2 R2 U' R2 U' R2 U2 R,L' B L' F2 L B' L' F2 L2 U,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,86
U R2 D' R2 U L D U B' D B2 D2 B U2 F' R U R' L U2 L' U2,x2,L R B L' D2,B U B',L U' L',L' R U L R',F' U2 F,B2 U2 B U2 B2,U' L2 U2 L' U2 L2,L' U2 B' U' B U2 L,R' U2 B' R2 B U2 R,L U F U' F' L',R2 D' L F2 L' D R U2 R,L' B L' F2 L B' L' F2 L2,L2 F2 D2 R2 B F D2 L2 B F,78
F' D2 U' L2 U' F' D' L2 R' F U' F D2 L2 U D' R D2 B' L R2 F',x2,F D' B L R,B' R' U R2 B R',L U2 L',F' U2 F2 U' F',R B' R B R2,U' L2 D2 R' D2 L2,L' D2 B' R B D2 L,B2 D2 F2 D2 B2,L F2 U F' U' F2 L',R' U' F' U F R,F U' B' U F' U' B,B2 U B2 L' B R D B' D' L B R' B',L2 U' B F' L2 B' F U' L2,84
R' D' R U L' F' L' F' B D2 R B U R2 L B R' L' B' F' D',x2,R' F2 L B' D,R2 B' R2 B,B' F U2 F' U B,F U' F',R U2 R',L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,L B2 D F2 D' B2 L',B' R2 U' R U R2 B,R U B U' B' R',B L F' L' B' L F L',L' B L' F2 L B' L' F2 L2 U,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,85
D' R2 D' B L F B2 U' L2 B L2 R2 D2 F U' F L' R D' B2 R' U,x2,D U B U2 L' D B,B2 R B2 R',F U B' U' B F',L' U' L,R U2 B' R B R2,B2 U2 B U2 B2,U' L2 U2 L' U2 L2,F L F L' U' F',,R U B U' B' R',F R F' L F R' F' L',U L2 F2 L B L' F2 L B' L,L2 U B F' L2 B' F U L2,76
F D2 B U' B' L' F2 R L U2 B' R' F R L B' D' L2 B2 U F2 R L U2 L2,x2,F' U L2 R' B F,B U B',F U B' U' B F',L' U B' U2 B L,R2 D B2 D' R2,L2 D' L U L' B' D L2,L' D2 B' R B D2 L,L' U2 B' U2 B U2 L,R' U2 B' R' B U2 R,L' U' B' U B L,R B' R' F R B R' F',F R' F L2 F' R F L2 F2,R2 U' B' F R2 B F' U' R2,87
D2 B' F' R U B2 R' U2 R D F' B2 U F2 B' L D U F' B D R D U B',x2,U' L' R2 B D B2 R,B U' B',L U2 L',U' F U F',F' U2 F,L2 D' U B2 D,F2 D' U L2 D,F L F L' U' F',L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',R2 D' L F2 L' D R U2 R,U R B' R F2 R' B R F2 R2,R2 U B' F R2 B F' U R2,82
U D2 B' D2 R2 F' U D' L U L F U' F2 B' R2 D' B' L2 U2 F2 B,x2,B' D B2 F,B' U' B2 U2 B',L U2 L',F2 L F2 L',R B' R B R2,R2 D' U F2 D,R2 D U B D' U' R2,U B2 D2 F D2 B2,L' B2 D' R D B2 L,L U F U' F' L',L2 B2 L' F2 L B2 L' F2 L',U L2 F2 L B L' F2 L B' L,,71
D' B2 F' R' F U L' D' L R' B R' B2 R2 B' U' D L R2 B',x2,D B' F2 D' F2,B U' B',B' U2 B,L' U B' U2 B L,U F' U' F,L2 D' U B2 D,L B L B' U' L',U B2 D2 F D2 B2,R' U2 B' R' B U2 R,L' U' B' U B L,R B' R' F R B R' F',U,R2 U' B' F R2 B F' U' R2,69
L' R2 U B D2 B2 U' F' U F R' L2 D' L U L U2 B F2 L' F',x2,D B' L R B L2,F R' U2 R F',L2 F2 L2 F2,U F2 L F2 L',R B' R B R2,L2 D' L U L' B' D L2,L B L B' U' L',U B2 D2 F D2 B2,R' U2 B' R2 B U2 R,R B U B' U' R',B' U2 B U B' U B,U L2 F2 L B L' F2 L B' L,B2 U L' R B2 L R' U B2,84
U' F' U' B2 L2 F2 R' B' R2 U' B' L' B2 F2 U2 F U' B2 U R D,x2,L D' R' F D,B' R' U R2 B R',R' B2 R B2 R,R' F R2 U R' F',R B' R B R2,U' F2 D2 B D2 F2,B' U2 R' U2 R U2 B,B2 D2 F D2 B2,B L2 D F' D' L2 B',L U F U' F' L',R B R' F R B' R' F',U B L' B R2 B' L B R2 B2,F2 U' L R' F2 L' R U' F2,85
B' U' L' U L' R' U L2 D R' B2 R' U2 L2 D L' R U2 F' D,x2,L' B F2 R B D,R' U R,L2 B L2 B',U F2 L F2 L',F' U' F,L2 D2 R' D2 L2,B2 D' R B U' B' D B2,B2 D2 F D2 B2,,L U F U' F' L',F U2 F' U' F U' F',R2 F2 R' B' R F2 R' B R' U,,62
L2 D R2 L2 F' R2 L' F2 R' F' R' B2 D R2 L' U' F D' R2 L' B D2 F,x2,L B2 U2 F' L' D B,F R' F2 U' F R,B' F U B F',F U F',F' U' F,U' F2 D2 B D2 F2,L' D2 B' R B D2 L,L B2 D F2 D' B2 L',R U' R U2 F R2 F' U2 R2,L U F U' F' L',,U B L' B R2 B' L B R2 B2,B2 U' L' R B2 L R' U' B2,78
F L' R U2 L' U L2 U L' F' U' B' F2 U2 R2 L' F2 U' R2 F2,x2,D2 R B' F R',B U' B',B' U' B,L' B' U2 B L,F' U F,,B' U2 R' U' R U2 B,U B2 D2 F D2 B2,,R U B U' B' R',R' U' R U' R' U2 R,B' R B' L2 B R' B' L2 B2,L2 U' B F' L2 B' F U' L2,63
F R2 D2 B' F' D2 R L F U' B R2 U' B2 R D R B2 L' F,x2,R D F L B2 R D',U R' U' R,L U2 L',L' U L,R U2 B' R B R2,U F2 D2 B D2 F2,R2 D2 L D2 R2,B2 D2 F' D2 B2,R' U2 B' R' B U2 R,R' U' F' U F R,L F' L' B L F L' B',L' B L' F2 L B' L' F2 L2,F2 U' L R' F2 L' R U' F2,78
F' L B2 U' F2 R2 D F R D2 F2 D' F2 D' U2 R' U' F L R B' R U,x2,L' D' R F' L D2,B U' B',B' U' F U2 B F',,R U2 R',U' F2 D2 B D2 F2,L' D2 B' R B D2 L,,,,B U' F' U B' U' F,U R B' R F2 R' B R F2 R2,L2 F2 D2 R2 B F D2 L2 B F,58
F D2 U2 L' F2 B' U R D U2 L D L' R' U' L U2 L' D' L' B' U' B L U2,x2,B' R B2 L' F' D B,F R' U2 R F',B' U B,,R' D2 L D2 R,L2 D' U B2 D,L B L B' U' L',,B U B2 D' R2 D B,R' U' F' U F R,B2 D F' L2 F D' B' U2 B',U R B' R F2 R' B R F2 R2,R2 U' B' F R2 B F' U' R2,72
U F L' F L D F' R U R F L B U2 D2 L2 U' D' F' U2,x2,F2 D' B R D2 B,R' U2 R,U B' U' B,R' F R2 U R' F',R U R',F2 D2 U2 B2 D2,L' D2 B' R B D2 L,U' B2 D2 F D2 B2,,,F' U B U' F U B',B2 R2 B' L' B R2 B' L B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,68
D' U' B' D2 L D' U F2 U2 R L F2 R' B2 F2 U F D U' L' D' U2 B D',x2,R' B2 U' B L' F',U' R2 B' R2 B,B' U2 B,F2 L F2 L',F' U' F,L2 D' L U L' B' D L2,U' L2 U2 L' U2 L2,L2 B2 D2 R' D2 B2 L2,B' R2 U' R U R2 B,R B U B' U' R',R' U' R U' R' U2 R,B2 R2 B' L' B R2 B' L B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,83
U D' R' D B F U' B D R' F' D2 R2 U D2 R2 U2 L' D2 F U F' D2,x2,D' L D' B F R,B2 R B2 R',B' U' B,U' F U F',F D2 B' D2 F',U' L2 D2 R' D2 L2,L2 D U' F2 D',F L F L' U' F',L F2 U F' U' F2 L',B' R' U' R U B,R U2 R2 U' R2 U' R2 U2 R,R2 U R2 U R2 U2 B L B' R2 B L' B',R2 U' B' F R2 B F' U' R2,83
L R' U2 B' U' B' L U2 D F2 U' R D L B D B' R' D2 B2 F2,x2,B2 D' L D L' D2,L R' U L' R,L2 F2 L2 F2,,R2 B' R' B U2 R',U L2 D2 R' D2 L2,U L2 U2 L' U2 L2,B2 D2 F' D2 B2,L' B2 D' R D B2 L,R B U B' U' R',B U' F' U B' U' F,U B L' B R2 B' L B R2 B2,F2 U L R' F2 L' R U F2,77
R L' B2 U' L F2 B2 R2 B U' D2 R2 B D F2 U R' L F' U2 F,x2,F2 R' F' L' B2 D',,U B' U' B,L' U B' U2 B L,F' U' F,L2 D' B L U' L' U B2 D,,L' U2 B' U' B U2 L,R' U2 B' R B U2 R,L U F U' F' L',F2 R2 F L2 F' R2 F L2 F,F R' F L2 F' R F L2 F2,,66
U2 F2 B' D2 F' D' R2 L' U D R2 U F U' B R2 U2 F' U' B' R F' L' F' R',x2,L2 D U2 L' D B,R U R2 U2 R,U2 B' U B,L' U L,R U R',L2 D2 R D2 L2,U' L2 U2 L' U2 L2,U' B2 D2 F D2 B2,B' R2 U' R U R2 B,R B U B' U' R',B' U2 B F' D F2 U F2 D' L2 F,U,R2 U B' F R2 B F' U R2,72
R2 F2 B R2 D B' L2 U2 R U' L D R2 B' R L2 F2 D' B' D U2 L,x2,U' L2 R' F D2 F,R U R2 U2 R,L U2 L',F U F',R2 D B2 D' R2,R' B' R' B U R,B2 D' R B U' B' D B2,B2 D2 F' D2 B2,R' U2 B' R' B U2 R,L' U' B' U B L,B U' F' U B' U' F,B' R B' L2 B R' B' L2 B2,F2 U L R' F2 L' R U F2,79
R D' R' F D2 L R B R2 B' L2 D' U B' L F' D' L2 D2 R' B L2,x2,R D2 R F D L',B U' B',L2 B L2 B',U2 F2 L F2 L',U F' U2 F,L2 D2 R' D2 L2,B2 D' R B U' B' D B2,L' U2 B' U' B U2 L,L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',R U2 R2 U' R2 U' R2 U2 R,R2 B2 R F R' B2 R F' R,L2 F2 D2 R2 B F D2 L2 B F,88
D2 F' D' F D2 U2 L2 D2 F R2 L U' R2 L2 U F L U D' L2 U L U',x2,U B' D B' R,B U2 B',B' F U2 F' U B,U2 F U' F',R2 B' R' B U2 R',B' U' L' B L B,L2 D U' F2 D',U' B2 D2 F D2 B2,R' U2 B' R B U2 R,F' U2 F R B2 L' B' L U2 B' R',R B R' F R B' R' F',L B L' F' D L D' B' L' F L2 U' L2,R2 U' B' F R2 B F' U' R2,89
U' L2 F R2 L' F R F L B' L' D U' L' B' F L2 R U2 R',x2,U2 L2 U L R2 B F',B U' B',B' U' F U2 B F',U F2 L F2 L',R2 B' R' B U2 R',,R2 D2 L D2 R2,B2 D2 F' D2 B2,B L2 D F' D' L2 B',R U B U' B' R',L U2 L2 U' L2 U' L2 U2 L,R2 U R2 U R2 U2 B L B' R2 B L' B',,72
B2 F2 R' F R D B' L2 F2 R' L' F' U2 B2 U2 R B' L' D2 U',x2,F R' U B2 D2 B',L R' U L' R,L2 F2 L2 F2,L' B' U2 B L,F D2 B' D2 F',B' U' L' B L B,R2 D2 L D2 R2,B2 D2 F2 D2 B2,B' R2 U' R U R2 B,L' U' B' U B L,R U2 R2 U' R2 U' R2 U2 R,B' R B' L2 B R' B' L2 B2,B2 U' L' R B2 L R' U' B2,81
R L B' R' U2 F2 U' F' U2 F' U2 R2 D' F2 R2 U' F' D2 B' D2 U2 B' F,x2,F L R' U2 F' L,R' B' R2 B U' R,L F' U2 F L',F U F',R B' R B R2,U' L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,B2 D2 F2 D2 B2,R U' R U2 F R2 F' U2 R2,,B2 D F' L2 F D' B' U2 B',B2 U B2 L' B R D B' D' L B R' B',,76
F2 R2 U' L2 R' B2 U R' B D2 U2 F L D2 U2 R' F U2 F2 B' R' L' B F',x2,B' R D' L' B' R2,R2 B' R2 B,L' U2 L2 U' L',U2 F2 L F2 L',F' U F,L2 D2 R' D2 L2,F2 D' U L2 D,U' B2 D2 F D2 B2,,F' U2 F R B2 L' B' L U2 B' R',F' U2 F2 U F2 U F2 U2 F',U' R B' R F2 R' B R F2 R2,F2 U' L R' F2 L' R U' F2,78
B U2 D2 B R U2 D R U2 B2 R2 B2 F' R' L D2 R' F U' L2 U L' D' U' F,x2,B' L D B2 F' D B,R' U B' R2 B R,F U B' U' B F',L' U B' U2 B L,F D2 B' D2 F',U F2 D2 B D2 F2,R2 D2 L D2 R2,B2 D2 F2 D2 B2,L F2 U F' U' F2 L',B' R' U' R U B,F R B R' F' R B' R',L B L' F' D L D' B' L' F L2 U' L2,B2 U L' R B2 L R' U B2,89
D2 R2 F D R2 D2 F2 U2 L' B2 L' B R U' L2 B' R2 L' F2 U B F' D2,x2,B2 U' F2 L R,U R' U' R,L F' U2 F L',L' U L,R B' R B R2,F2 D2 U2 B2 D2,L' D2 B' R B D2 L,,R' U2 B' R2 B U2 R,,R2 D' L F2 L' D R U2 R,U L2 F2 L B L' F2 L B' L,R2 U B' F R2 B F' U R2,69
L' R' U B L2 B R2 U2 D2 R L' U' R D L U2 R U D' B U' L2 D' R2,x2,D R2 B F,R U R2 U2 R,L2 B L2 B',F U2 F',R U2 B' R B R2,U L2 D2 R' D2 L2,F2 D' U L2 D,F L F L' U' F',,,R B L' B' R' B L B',U2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,60
F B' D' U B2 D' L' U R' L' B2 L2 B R L B' U2 F L' R2 U2 L' U D2,x2,U L2 D' R F',R' U2 R,B' U' B,F U2 F',F' U2 F,L2 D2 R D2 L2,U' L2 U2 L' U2 L2,B2 D2 F' D2 B2,R' U2 B' R2 B U2 R,R U B U' B' R',F U' B' U F' U' B,U R B' R F2 R' B R F2 R2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,75
U F2 U' F' B' R U' D2 R' B L2 R D U2 F' R2 B U2 D2 R2 U2 L' R,x2,B L2 F' L D B D,B F' U' B' F,U2 B' U B,L' U' L,F' U' F,B2 U2 B' U2 B2,R2 D2 L' D2 R2,B2 D2 F D2 B2,R' U2 B' R2 B U2 R,L' U' B' U B L,B' U2 B F' D F2 U F2 D' L2 F,R2 F2 R' B' R F2 R' B R',F2 U L R' F2 L' R U F2,79
D' B' L' D L2 B' F' U F' U B' L' D2 U' L2 U' L' D R' F2 B R2 D R' F2,x2,B' R2 D' B L',R' U' R,B' F U2 F' U B,L' U L,U F' U' F,,R2 D2 L D2 R2,B2 D2 F2 D2 B2,B' R2 U' R U R2 B,L U F U' F' L',F R F' L F R' F' L',F R' F L2 F' R F L2 F2,R2 U B' F R2 B F' U R2,70
B2 U2 L2 B2 R U2 R L2 F' U2 L2 D' F2 R2 B L2 D L F B2 D B D2 R,x2,R' F L B' F2 D,B L' U2 L B',L U' L',F2 L F2 L',R U2 R',U' F2 D2 B D2 F2,B' U2 R' U' R U2 B,U B2 D2 F D2 B2,L' B2 D' R D B2 L,L' U' B' U B L,B U2 B2 U' B2 U' B2 U2 B,U B2 L2 B R B' L2 B R' B,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,84
F2 R2 L2 F2 B2 R B' L' F' L B L2 R D' U2 R' L' F' B2 L' U2 F2,x2,F L2 D R' B,B2 R B2 R',B' R U' R' B,F2 L F2 L',U F' U' F,B' U' L' B L B,L B L B' U' L',F L F L' U' F',B' R2 U' R U R2 B,,F' U2 F2 U F2 U F2 U2 F',L F' L B2 L' F L B2 L2,R2 U' B' F R2 B F' U' R2,74
F B U' B U L2 B' D2 U2 L D L' R B U' R F2 B2 D F2 D L2 B2 U2 B,x2,R' B' F R D F,R' U B' R2 B R,L2 B L2 B',,R2 B' R' B U2 R',R2 D' U F2 D,F2 D' U L2 D,,B' R2 U' R U R2 B,R B U B' U' R',F2 R2 F L2 F' R2 F L2 F,B' R B' L2 B R' B' L2 B2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,75
U2 R U D F U F' B' U D2 L2 B F2 D2 B L' R2 U' D' F,x2,F R' B2 L2 F' D',F R' F2 U' F R,L F' U2 F L',F U2 F',R U' R',B2 U2 B U2 B2,L B L B' U' L',L2 B2 D2 R' D2 B2 L2,B' R2 U' R U R2 B,,F2 R2 F L2 F' R2 F L2 F,U R B' R F2 R' B R F2 R2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,79
R2 U' F' B L U' R B L R2 B L B R B' R' D' L' U' B,x2,B' L' D2 F' L' D,R' U R,L F' U2 F L',L' B' U2 B U' L,R2 B' R' B U2 R',B2 U2 B U2 B2,L' D2 B' R B D2 L,B D F L F2 D' B' U' L',B' R2 U' R U R2 B,,R U R' U R U2 R',L F' L B2 L' F L B2 L2,R2 U B' F R2 B F' U R2,79
L2 U2 B' F' L' R' D2 R U' L2 U2 R2 F2 U2 D' B D U2 R' F' R',x2,B D' R' U B L' F',U R' U2 R,F U B' U' B F',U F2 L F2 L',R2 B' R' B U2 R',B2 U2 B U2 B2,B' U2 R' U2 R U2 B,U B2 D2 F D2 B2,L F2 U F' U' F2 L',,F' U2 F2 U F2 U F2 U2 F',L B L' F' D L D' B' L' F L2 U' L2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,87
D R' B' F R' D B' U2 L2 B R2 F2 L' F2 D2 L F D2 R' F2 D2 F,x2,D2 R' D' B D2 L,R' B' R2 B U' R,L' U2 L2 U' L',U F2 L F2 L',R U2 B' R B R2,L2 D' B L U' L' U B2 D,B' U2 R' U' R U2 B,L' U2 B' U' B U2 L,R' U2 B' R B U2 R,R' U' F' U F R,,B2 R2 B' L' B R2 B' L B',L2 F2 D2 R2 B F D2 L2 B F,83
B2 U2 F L' F' R2 L2 D2 F2 D' L2 U' D B L D U2 F D L' B2 L',x2,U2 B' L' R' B D' L',R' B' R2 B U' R,L U2 L',L' U2 L,R' D2 L D2 R,F2 D2 U2 B2 D2,L B L B' U' L',U B2 D2 F D2 B2,R' U2 B' R B U2 R,F' U2 F R B2 L' B' L U2 B' R',,,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,71
D2 R2 B F U F' R U D2 R D L2 D' R' L2 U' B' L2 D2 F',x2,B R U' B L',R U R2 U2 R,L2 B L2 B',F' U2 F2 U' F',,R2 D' U F2 D,L' D2 B' R B D2 L,L' U2 B' U2 B U2 L,B' R2 U' R U R2 B,B' R' U' R U B,F R B R' F' R B' R',U B2 L2 B R B' L2 B R' B,F2 U' L R' F2 L' R U' F2,78
F' R2 B L U B U F D' F' D2 U2 L U D2 L F L D2 U' R2 F2 U',x2,L D2 L U' R2 B,B' R' U R2 B R',U2 B' U B,U' F U F',R U2 B' R B R2,,,L' U2 B' U' B U2 L,R U' R U2 F R2 F' U2 R2,,L2 B2 L' F2 L B2 L' F2 L',R B' R F2 R' B R F2 R2,R2 U B' F R2 B F' U R2,69
U' R D' U R' F2 B R' D R D2 F' U2 L2 B' L' F' B2 U' D R L2 D R',x2,D' R B' F,,B' R' U2 R B,L' U2 L,R U R',U' L2 D2 R' D2 L2,L' D2 B' R B D2 L,L B2 D F2 D' B2 L',,R' U' F' U F R,L U2 L2 U' L2 U' L2 U2 L,,F2 U L R' F2 L' R U F2,59
D2 R2 F' L2 U2 F2 U L2 R D' B L2 U' B2 F2 D2 L D2 L U R2 D' F' R2 F,x2,L2 D L' B' R2,B2 R B2 R',B' U' F U2 B F',L' U B' U2 B L,R2 D B2 D' R2,L2 D' L U L' B' D L2,R2 D2 L D2 R2,,L' B2 D' R D B2 L,L' U' B' U B L,B U B' U B U F' U B' U' F,R2 B2 R F R' B2 R F' R,F2 U' L R' F2 L' R U' F2,81
B' U B' L D' F2 L B' F2 D L2 U2 L U' F' L2 U R' F U B2 R D,x2,U L' R2 U2 B L',B' R' U R2 B R',L U L',L' R U L R',R2 D B2 D' R2,B2 U2 B U2 B2,B2 D' R B U' B' D B2,L2 B2 D2 R' D2 B2 L2,R' U2 B' R B U2 R,R' U' F' U F R,B L F' L' B' L F L',U',F2 U L R' F2 L' R U F2,76
D2 U2 F B U R2 U F R' U2 B F2 L F2 L U2 F2 U B' L2 F U' R' D',x2,R' B' R2 D F' R',U' R2 B' R2 B,L2 F2 L2 F2,L' U L,R2 B' R' B U2 R',L2 D2 R' D2 L2,B' U2 R' U2 R U2 B,B2 D2 F' D2 B2,R' U2 B' R2 B U2 R,F' U2 F R B2 L' B' L U2 B' R',B L F L' B' L F' L',F R' F L2 F' R F L2 F2,L2 U' B F' L2 B' F U' L2,85
F2 B D' R' F' D L2 B D2 B' L2 B2 U' D' F' L' F2 D2 L2 B' R' B2,x2,D B' F2 D',L R' U L' R,B' U2 B,U2 F U' F',R B' R B R2,L2 D' L U L' B' D L2,R2 D2 L' D2 R2,,B L2 D F' D' L2 B',B' R' U' R U B,R' U' R U' R' U2 R,R D' F2 R2 U' L F2 L' U R2 F2 D R',L2 U B F' L2 B' F U L2,76
L2 R' B2 D R' D' R' L B R' B' D L' R B U D B2 L B2 U2 F' B2,x2,B' R D' L' D2,B2 R B2 R',L2 F2 L2 F2,U F2 L F2 L',R U2 R',L2 D' U B2 D,L B L B' U' L',L' U2 B' U' B U2 L,R' U2 B' R' B U2 R,,F' U2 F2 U F2 U F2 U2 F',U' L2 F2 L B L' F2 L B' L,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,77
R' D L R F' L R F2 B D U2 B D U' R2 U' D2 F2 R' D' F2 U2 F' B,x2,L' D' L' R' F' L,B' U' B2 U2 B',L' U2 L2 U' L',U F2 L F2 L',U F' U' F,U' F2 D2 B D2 F2,R2 D2 L' D2 R2,,B' R2 U' R U R2 B,R B U B' U' R',R U R' U R U2 R',U2,B2 U L' R B2 L R' U B2,66
U2 L B2 L B2 R L2 U B2 L R2 D2 L R F' L2 D' R' B L2 B2 U L2,x2,R' F D L,R' U2 R,B' F U2 F' U B,L' B' U2 B U' L,,U' F2 D2 B D2 F2,R2 D2 L' D2 R2,L B2 D F2 D' B2 L',L' B2 D' R D B2 L,,B U B' U B U F' U B' U' F,U',L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,68
R2 L' D' B2 R L U' R' B' L' D B2 U' B2 D F2 U' F B D' L' B2 R2,x2,B R F' L' B' D,B2 R B2 R',B' U B,F' U2 F2 U' F',R2 B' R' B U2 R',U F2 D2 B D2 F2,R2 D U B D' U' R2,U' B2 D2 F D2 B2,L F2 U F' U' F2 L',F' U2 F R B2 L' B' L U2 B' R',F R F' L F R' F' L',R D' F2 R2 U' L F2 L' U R2 F2 D R',R2 U B' F R2 B F' U R2,91
F2 R' D2 L2 D' F2 D L' U' D L2 B L' U2 F R2 F2 D B' D2,x2,R' F L D' F' R',U' R2 B' R2 B,R' B2 R B2 R,U F2 L F2 L',F D2 B' D2 F',U' L2 D2 R' D2 L2,B' U2 R' U2 R U2 B,U' B2 D2 F D2 B2,,L U F U' F' L',B U2 B2 U' B2 U' B2 U2 B,U' R B' R F2 R' B R F2 R2,F2 U' L R' F2 L' R U' F2,79
F L U R U2 B' R L F' B' U2 D R F' R' L F U D2 L2,x2,D' R B' D L' R,B' U' B2 U2 B',,F U' F',R U' R',L2 D' U B2 D,R2 D U B D' U' R2,U' B2 D2 F D2 B2,B U B2 D' R2 D B,L U F U' F' L',,U2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,61
