scramble,orientation,cross,corner_fr,corner_fl,corner_bl,corner_br,edge_fr,edge_fl,edge_bl,edge_br,EO,CO,CP,ep,total_moves
B2 F' U F R' B R B2 U F2 D' F' R' B L2 F B2 R2 U' D R2 B' U,x2,L B2 U' F R',B2 R B2 R',B' F U B F',F U' F',F' U F,B2 U2 B' U2 B2,B' U2 R' U2 R U2 B,,L F2 U F' U' F2 L',,F' U2 F2 U F2 U F2 U2 F',U,,49
B' R' B2 R' U D' R2 U2 R B' L2 U' R' F B U' F' R2 U2 R2 U F2 L2 R U,x2,D2 U' B2 L U' F2,R U R2 U2 R,B' F U2 F' U B,L' U' L,F D2 B' D2 F',U F2 D2 B D2 F2,U L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,R' U2 B' R2 B U2 R,R U B U' B' R',R' U' R U' R' U2 R,U,,65
R' L' D L2 D2 B2 L2 R' U' R' D2 R U' R2 U2 R' U' F' L D U2 L2 U' R,x2,L2 B' R' D' R2 F,R' U B' R2 B R,L F' U2 F L',U2 F U' F',R' D2 L D2 R,R2 D' U F2 D,L B L B' U' L',,B U B2 D' R2 D B,L' U' B' U B L,B L F' L' B' L F L',U2,R2 U' B' F R2 B F' U' R2,68
R2 F2 U2 B R2 D U B' D R2 D2 L2 R2 B' D L U F' U B2 U R',x2,R' F2 D U' F' L,B' U' B2 U2 B',B' F U2 F' U B,L' B' U2 B L,R U2 B' R B R2,L2 D' L U L' B' D L2,R2 D2 L' D2 R2,L' U2 B' U2 B U2 L,L' B2 D' R D B2 L,R' U' F' U F R,R U2 R2 U' R2 U' R2 U2 R,U2,L2 F2 D2 R2 B F D2 L2 B F,81
F2 L R2 F R' L2 U2 R L2 D2 R2 U' B2 D L B' R2 F2 D' U R,x2,F R' B2 D B D B',B' U' B2 U2 B',F U B' U' B F',L' B' U2 B U' L,R' D2 L D2 R,F2 D2 U2 B2 D2,U' L2 U2 L' U2 L2,U' B2 D2 F D2 B2,B U B2 D' R2 D B,R B U B' U' R',B U' F' U B' U' F,R2 U R2 U R2 U2 B L B' R2 B L' B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,91
B R' B2 L2 B2 U2 L2 F2 D R L2 F2 B D' B2 R B L R2 U,x2,F2 D2 F' R' D L,R' U' R,L F' U2 F L',U2 F U' F',F D2 B' D2 F',L2 D' L U L' B' D L2,R2 D2 L' D2 R2,L2 B2 D2 R' D2 B2 L2,B' R2 U' R U R2 B,L U F U' F' L',R B R' F R B' R' F',B2 R2 B' L' B R2 B' L B',B2 U' L' R B2 L R' U' B2,82
U R B' L B' L' D' L U D B' U B' R2 B F U' B2 D2 F2 L' U' B2 R2,x2,F' L D2 F D,,B' U B,F2 L F2 L',F' U F,L2 D2 R D2 L2,L B L B' U' L',B2 D2 F D2 B2,R' U2 B' R' B U2 R,L' U' B' U B L,B' U2 B F' D F2 U F2 D' L2 F,R2 U R2 U R2 U2 B L B' R2 B L' B',F2 U L R' F2 L' R U F2,77
R2 F B L B F' L D R' F2 L' B U R2 U' D2 F' R' L' U',x2,U2 F L' B2 U' F2,L R' U L' R,B' F U2 F' U B,L' U L,R2 D B2 D' R2,L2 D2 R' D2 L2,L B L B' U' L',B2 D2 F' D2 B2,R' U2 B' R2 B U2 R,B' R' U' R U B,B U' F' U B' U' F,L' B L' F2 L B' L' F2 L2 U,L2 U' B F' L2 B' F U' L2,80
L2 B L2 B L2 B' U' R' B' R F' U B D' U L2 U' B D' U' B,x2,D F U B L' D2,U R' U2 R,B' U' F U2 B F',F U F',F' U' F,B' U' L' B L B,,B D F L F2 D' B' U' L',L' B2 D' R D B2 L,R U B U' B' R',B U B' U B U F' U B' U' F,L' B L' F2 L B' L' F2 L2,R2 U B' F R2 B F' U R2,79
L D' L2 R D R L2 B' L2 B' F R2 L D2 U R2 L2 F2 R F' U' D',x2,B U' L2 F2 D2,B L' U2 L B',B' U' F U2 B F',L' U2 L,F' U' F,L2 D2 R' D2 L2,B' U2 R' U' R U2 B,B2 D2 F' D2 B2,R U' R U2 F R2 F' U2 R2,L U F U' F' L',F U' B' U F' U' B,U B L' B R2 B' L B R2 B2,L2 U' B F' L2 B' F U' L2,80
D' U2 F B2 U R' B2 U' R F' D L2 D U' R2 F2 B U D2 L',x2,F2 L' R' D L,L R' U L' R,B' U B,L' B' U2 B U' L,R U R',L2 D2 R D2 L2,R2 D U B D' U' R2,L2 B2 D2 R' D2 B2 L2,B' R2 U' R U R2 B,R U B U' B' R',R B R' F R B' R' F',B2 U B2 L' B R D B' D' L B R' B',R2 U B' F R2 B F' U R2,84
R' D B F' L' U2 B2 L B D R' D U2 R' F' D F' B' R2 F D L F,x2,B D' L2 R F',B2 R B2 R',U2 B' U B,F U F',R U R',R2 D' U F2 D,B' U2 R' U' R U2 B,L B2 D F2 D' B2 L',,L U F U' F' L',F R B R' F' R B' R',,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,64
B L B' U R2 F D' L F U R U B L2 D' U2 L U R' D L' R' U2 R F,x2,B U2 L' R2 U' F2,R2 F2 R2 F2,B' U2 B,L' B' U2 B L,R U R',U' L2 D2 R' D2 L2,R2 D U B D' U' R2,U B2 D2 F D2 B2,R' U2 B' R' B U2 R,R' U' F' U F R,B2 D F' L2 F D' B' U2 B',U B2 L2 B R B' L2 B R' B,F2 U' L R' F2 L' R U' F2,81
D B F' R' U' B2 F L' D' R2 F B U' R2 F' L R2 F B' U L B R' L2 U,x2,F' D' R B2 F,U R' U2 R,L U L',,F D2 B' D2 F',B' U' L' B L B,F2 D' U L2 D,U B2 D2 F D2 B2,B' R2 U' R U R2 B,L' U' B' U B L,R2 D' L F2 L' D R U2 R,U,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,69
U' R D' R' D' U F' L R F2 U F L2 R2 B' F2 U D' R2 L D' B2 F2 L,x2,L U2 B' R D,R' U R,L2 B L2 B',,R B' R B R2,L2 D2 R D2 L2,L2 D U' F2 D',F L F L' U' F',,F' U2 F R B2 L' B' L U2 B' R',B U' F' U B' U' F,U R B' R F2 R' B R F2 R2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,73
F' L2 B F D U F2 U D2 F L2 D' U' F2 R B U' D' L2 B',x2,D2 R' F2 D' R2,B U2 B',B' U' B,,R U2 B' R B R2,B' U' L' B L B,B2 D' R B U' B' D B2,F L F L' U' F',,R' U' F' U F R,F' U B U' F U B',L F' L B2 L' F L B2 L2,R2 U' B' F R2 B F' U' R2,68
F2 R2 B2 F' R D2 L B2 R2 U D2 B' R2 U2 L2 R B2 R2 D2 R U' B L2 F',x2,L' U' F R' B D' L2,B F' U' B' F,L2 B L2 B',F U2 F',,F2 D2 U2 B2 D2,U' L2 U2 L' U2 L2,B2 D2 F2 D2 B2,R' U2 B' R B U2 R,,B U2 B2 U' B2 U' B2 U2 B,U2,L2 U' B F' L2 B' F U' L2,61
R' D' R2 B2 F2 D' L2 R' B2 F2 L D L2 R' B' U2 D R D' B F2,x2,R2 U' L' B F2 L,R' U' R,B' U2 B,F' U2 F2 U' F',F' U' F,L2 D' U B2 D,U' L2 U2 L' U2 L2,L2 B2 D2 R' D2 B2 L2,L' B2 D' R D B2 L,R' U' F' U F R,R' U' R U' R' U2 R,R2 U R2 U R2 U2 B L B' R2 B L' B',B2 U' L' R B2 L R' U' B2,80
U2 R D' L2 D B' L R2 F2 D L' D2 R' U' B R B2 U B' L' U D' F' U2 D2,x2,L' B' F' L D L2 B,B U2 B',B' U' F U2 B F',L' B' U2 B L,R B' R B R2,U' F2 D2 B D2 F2,L' D2 B' R B D2 L,L' U2 B' U2 B U2 L,B L2 D F' D' L2 B',R' U' F' U F R,B' U2 B F' D F2 U F2 D' L2 F,L B L' F' D L D' B' L' F L2 U' L2,L2 F2 D2 R2 B F D2 L2 B F,93
R2 D R F U' R' D B F' D L B2 L2 R2 U2 F' D' U R B,x2,F R' B' D' L' B,R' U R,B' U' B,L' U L,R U2 B' R B R2,F2 D2 U2 B2 D2,L2 D U' F2 D',L B2 D F2 D' B2 L',R U' R U2 F R2 F' U2 R2,R U B U' B' R',R B' R' F R B R' F',R2 U R2 U R2 U2 B L B' R2 B L' B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,86
D2 L2 R2 B F U F' R' D' L2 F2 B2 R' L F2 R' L' F' L' U R B',x2,R' F' D L F2 R',B2 R B2 R',L U' L',U F2 L F2 L',R B' R B R2,F2 D2 U2 B2 D2,B2 R B2 R2 B' U' R B R,L B2 D F2 D' B2 L',B U B2 D' R2 D B,R U B U' B' R',B L F' L' B' L F L',U',F2 U L R' F2 L' R U F2,75
L' F2 L' U' R2 B2 F2 L B2 L D2 L2 R' D U R D F L2 R2,x2,L2 F D' F R,R' B' R2 B U' R,B' F U2 F' U B,U2 F U' F',R B' R B R2,R2 D' U F2 D,B2 D' R B U' B' D B2,U' B2 D2 F D2 B2,L F2 U F' U' F2 L',,R B' R' F R B R' F',R2 F2 R' B' R F2 R' B R',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,81
U F' U' R2 B' U' F L' U2 B U R' U R B' D B F' L B',x2,B D2 B' D B R,R2 B' R2 B,L U L',F U F',F D2 B' D2 F',U' L2 D2 R' D2 L2,R2 D U B D' U' R2,L B2 D F2 D' B2 L',R' U2 B' R B U2 R,L U F U' F' L',F U2 F' U' F U' F',R2 F2 R' B' R F2 R' B R',B2 U L' R B2 L R' U B2,79
B D' B2 L2 D' B' U R2 D R' U' B' D2 F' L' D F' D' F L2 D2 B2 F' D,x2,L' U L' U B F2,R' U B' R2 B R,R' B2 R B2 R,U2 F U' F',U F' U2 F,L2 D2 R D2 L2,F2 D' U L2 D,L B2 D F2 D' B2 L',R' U2 B' R B U2 R,,B' U2 B U B' U B,B2 U B2 L' B R D B' D' L B R' B',R2 U' B' F R2 B F' U' R2,78
D' F2 L B D2 B2 F2 D B2 F U B2 F2 D B U' L2 F R2 D2 U B2,x2,L R2 F' L' D',R' U R,L U2 L',L' B' U2 B U' L,R U2 R',F2 D2 U2 B2 D2,U' L2 U2 L' U2 L2,L2 B2 D2 R' D2 B2 L2,R' U2 B' R' B U2 R,B' R' U' R U B,R U2 R2 U' R2 U' R2 U2 R,U R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,79
U2 L2 D2 B' L2 D2 B2 R2 U2 F' U F2 U2 B D2 U2 L2 D' U2 R,x2,U2 F2 R2 D L,U R' U2 R,B' U' B,U' F U F',U F' U' F,L2 D' B L U' L' U B2 D,,,L' B2 D' R D B2 L,L U F U' F' L',B L F L' B' L F' L',F R' F L2 F' R F L2 F2,L2 U B F' L2 B' F U L2,68
F R B' F2 D B2 R2 L' D2 U' B D' R' U' D' B' R2 B2 R B L' B2,x2,B F2 L' D B F' D,U R' U' R,L2 B L2 B',L' B' U2 B L,R2 D B2 D' R2,R' B' R' B U R,U' L2 U2 L' U2 L2,L' U2 B' U' B U2 L,L F2 U F' U' F2 L',R U B U' B' R',B L F L' B' L F' L',U',L2 U B F' L2 B' F U L2,75
F2 U' B2 U D B2 U F' U2 F2 U2 D' R U2 D' B' U2 B2 F' U',x2,L2 F R D' F R,F R' F2 U' F R,B' R U' R' B,L' R U L R',R U2 R',L2 D2 R' D2 L2,R2 D U B D' U' R2,B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R' U' F' U F R,,L B L' F' D L D' B' L' F L2 U' L2,B2 U L' R B2 L R' U B2,79
L U2 L' U' F U L' D' U' L2 R2 F2 B2 U2 D2 R B2 F2 U2 B' R' L',x2,B2 F2 R D',R' B' R2 B R,B' U2 B,,F' U' F,B' U' L' B L B,U L2 U2 L' U2 L2,,L' B2 D' R D B2 L,R' U' F' U F R,B2 D F' L2 F D' B' U2 B',R D' F2 R2 U' L F2 L' U R2 F2 D R',B2 U' L' R B2 L R' U' B2,71
L' F2 U' D F2 U2 D' R2 B2 D' L2 U2 D B F2 D2 B2 R U L B2,x2,D' F2 L R' B F D,B U B',B' U2 B,U2 F U' F',R U2 R',B2 U2 B' U2 B2,U' L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,R B U B' U' R',B' U2 B F' D F2 U F2 D' L2 F,U,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,75
F L2 U' L D F B' D' R2 L2 B' L B2 R' F2 R2 L' F' U L2 D2,x2,F2 D L R B D',B' R' U R2 B R',L2 F2 L2 F2,L' U2 L,R B' R B R2,B2 U2 B U2 B2,B' U2 R' U' R U2 B,L B2 D F2 D' B2 L',R U' R U2 F R2 F' U2 R2,R B U B' U' R',B U' F' U B' U' F,U L2 F2 L B L' F2 L B' L,,75
U L U2 B' R' L2 B U B2 U' R2 B D2 R2 B2 L' F2 L U B U' D2 F,x2,L B2 F2 D',R' U B' R2 B R,L U L',L' B' U2 B U' L,R U' R',,F2 D' U L2 D,L' U2 B' U' B U2 L,,R' U' F' U F R,R2 D' L F2 L' D R U2 R,R2 F2 R' B' R F2 R' B R',,58
B2 U L2 D2 B F2 U' L U' D' B L B' D2 R F' R2 B2 R2 D2 U2 B2,x2,L' B' R B F,B U' B',L U2 L',U2 F U' F',F D2 B' D2 F',R2 D' U F2 D,U' L2 U2 L' U2 L2,U' B2 D2 F D2 B2,R' U2 B' R2 B U2 R,F' U2 F R B2 L' B' L U2 B' R',L F' L' B L F L' B',R B' R F2 R' B R F2 R2,B2 U L' R B2 L R' U B2,81
R2 D' F' B' R U2 R2 L U R' D2 U L2 B' U2 L2 R B' F R2 B D F2 R2,x2,L' B D F',R' U R,F U B' U' B F',F U F',F' U' F,B2 U2 B' U2 B2,R2 D U B D' U' R2,B D F L F2 D' B' U' L',R U' R U2 F R2 F' U2 R2,L U F U' F' L',F U' B' U F' U' B,U B2 L2 B R B' L2 B R' B,F2 U L R' F2 L' R U F2,81
F' L D B' L D' B' F' R2 L2 F R' D2 F2 B' L U' B2 L2 U' F2 U2 B2 U' L,x2,F2 D F' L D2,R U R2 U2 R,B' U2 B,F U' F',R U2 B' R B R2,,B2 R B2 R2 B' U' R B R,U' B2 D2 F D2 B2,L F2 U F' U' F2 L',B' R' U' R U B,L F' L' B L F L' B',B2 R2 B' L' B R2 B' L B',B2 U' L' R B2 L R' U' B2,76
B2 F' R' D' U' L2 R' B' D F2 L2 R' F2 U D2 B2 D B' F2 D B' U' F' B U2,x2,B2 F' D F' L' B' D,R2 F2 R2 F2,L2 F2 L2 F2,U' F U F',R U2 B' R B R2,B2 U2 B U2 B2,B2 R B2 R2 B' U' R B R,U' B2 D2 F D2 B2,L F2 U F' U' F2 L',B' R' U' R U B,F' U2 F2 U F2 U F2 U2 F',B2 R2 B' L' B R2 B' L B',R2 U B' F R2 B F' U R2,85
U' R U B' R2 F U B' U2 B' R F L F2 D' U' L D R U2 R2 L' D2,x2,B' L U R2 F D' B,B U2 B',B' U' F U2 B F',U2 F U' F',U F' U2 F,L2 D' L U L' B' D L2,F2 D' U L2 D,B2 D2 F2 D2 B2,R' U2 B' R2 B U2 R,L U F U' F' L',F' U2 F2 U F2 U F2 U2 F',L B L' F' D L D' B' L' F L2 U' L2,F2 U L R' F2 L' R U F2,86
B' U2 F' D2 F D2 F' R D2 B F' D' L' D U B2 L' D2 B' U2 L D2 B' F U',x2,U2 L' B D2 B',R' B' R2 B U' R,L2 B L2 B',L' U B' U2 B L,R' D2 L D2 R,U F2 D2 B D2 F2,R2 D2 L D2 R2,F L F L' U' F',R' U2 B' R B U2 R,R B U B' U' R',F U' B' U F' U' B,R2 U R2 U R2 U2 B L B' R2 B L' B',,76
D2 U2 F B2 L B U' B' F2 D L U B' R L' B2 U' L' D' B' U L U,x2,R U' B' F L' R,B U2 B',B' F U2 F' U B,F U F',R' D2 L D2 R,B2 U2 B' U2 B2,B2 D' R B U' B' D B2,U B2 D2 F D2 B2,L' B2 D' R D B2 L,F' U2 F R B2 L' B' L U2 B' R',F R B R' F' R B' R',U' L2 F2 L B L' F2 L B' L,R2 U B' F R2 B F' U R2,87
U2 F' L' F2 R' D' B' R' U D F' R L F2 B' U2 R2 D' L' F2,x2,F2 D L' B D R2,R' U' R,L2 B L2 B',L' B' U2 B U' L,U F' U2 F,U' F2 D2 B D2 F2,B2 D' R B U' B' D B2,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,,F R F' L F R' F' L',B2 R2 B' L' B R2 B' L B',F2 U' L R' F2 L' R U' F2,77
R' U2 L' F2 B2 R F U2 L R D' B2 F2 R U2 D2 F2 R' D U2 L R D',x2,U2 B2 U' L2 F' R',R U R2 U2 R,L U L',L' B' U2 B L,F' U' F,L2 D' L U L' B' D L2,,B2 D2 F' D2 B2,L F2 U F' U' F2 L',R B U B' U' R',L U2 L2 U' L2 U' L2 U2 L,B2 U B2 L' B R D B' D' L B R' B',F2 U' L R' F2 L' R U' F2,79
B U2 L D' L2 D2 R' F U2 D2 F2 D2 R B' L2 R B' R' U2 R L,x2,L' B' R D2 B2,R' U' R,B' U' B,L' U B' U2 B L,R' D2 L D2 R,F2 D2 U2 B2 D2,,L' U2 B' U2 B U2 L,R' U2 B' R' B U2 R,F' U2 F R B2 L' B' L U2 B' R',R2 D' L F2 L' D R U2 R,R B' R F2 R' B R F2 R2,L2 F2 D2 R2 B F D2 L2 B F,80
L F' U B D R' L' B' D R2 U' D2 F' B' R L B L R' B2 L D2 L',x2,D2 U R' F D L',B U2 B',R' B2 R B2 R,L' U B' U2 B L,R B' R B R2,L2 D' U B2 D,L B L B' U' L',B2 D2 F' D2 B2,R' U2 B' R2 B U2 R,,L2 B2 L' F2 L B2 L' F2 L',B2 R2 B' L' B R2 B' L B',,66
F U' B L' F' R2 B2 R' L F' L2 U B U2 D' R D R D R2 U' L2 R2 U',x2,D F' L2 D L,F R' U2 R F',B' R U' R' B,R' F R2 U R' F',R U2 B' R B R2,B2 U2 B' U2 B2,R2 D2 L' D2 R2,U' B2 D2 F D2 B2,B' R2 U' R U R2 B,R B U B' U' R',,F R' F L2 F' R F L2 F2,B2 U' L' R B2 L R' U' B2,74
F2 U2 B D L D2 F2 R L2 B2 R2 U' B2 D L F B2 U F2 B2 U,x2,R2 D R D2 B,U R' U2 R,B' U' B,F U F',R B' R B R2,,U L2 U2 L' U2 L2,L2 B2 D2 R' D2 B2 L2,R U' R U2 F R2 F' U2 R2,,L F' L' B L F L' B',L F' L B2 L' F L B2 L2,R2 U B' F R2 B F' U R2,68
L' F2 L2 D2 L2 B2 L2 B' U' R2 F2 B' U' R2 D' L F B2 R' U2 B F2 U,x2,L D' F' L' D2,F R' U2 R F',L' U2 L2 U' L',U2 F U' F',U F' U' F,B2 U2 B U2 B2,B' U2 R' U2 R U2 B,,R' U2 B' R' B U2 R,B' R' U' R U B,F' U2 F2 U F2 U F2 U2 F',U L2 F2 L B L' F2 L B' L,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,79
F D2 R2 L B' D' L D' L U' F2 R' B D U' B2 U D2 L' R F' U2 R B' F',x2,L' D2 B F D B,R' B' R2 B U' R,B' R' U2 R B,U' F U F',F' U F,L2 D2 R D2 L2,R2 D2 L' D2 R2,L' U2 B' U2 B U2 L,R' U2 B' R B U2 R,R U B U' B' R',F' U B U' F U B',,,61
D' U2 F' R2 L' U' L F' R2 B2 U' D F2 L2 B D' B2 L B2 U' F' B' R' F' D,x2,L' B D F2 D2 F2,B L' U2 L B',L F' U2 F L',L' U' L,R U2 R',U' L2 D2 R' D2 L2,B2 D' R B U' B' D B2,B2 D2 F D2 B2,R' U2 B' R2 B U2 R,R' U' F' U F R,L2 B2 L' F2 L B2 L' F2 L',R B' R F2 R' B R F2 R2,F2 U L R' F2 L' R U F2,81
D' L' B2 R2 D U L2 R2 U F' B D' R' L B F2 U2 F2 L B' D2 R2,x2,B2 R' U F R',B U2 B',L U L',U F2 L F2 L',F' U2 F,L2 D' L U L' B' D L2,B2 R B2 R2 B' U' R B R,F L F L' U' F',R U' R U2 F R2 F' U2 R2,R B U B' U' R',L U2 L2 U' L2 U' L2 U2 L,F R' F L2 F' R F L2 F2,,75
L' R' B2 R U B' R' B2 U' D' R B' R2 F D2 R L2 U L2 F,x2,B2 L' D' F L R,R' B' R2 B U' R,L U2 L',U2 F U' F',,B' U' L' B L B,,U B2 D2 F D2 B2,L F2 U F' U' F2 L',L U F U' F' L',F' U2 F2 U F2 U F2 U2 F',R2 U R2 U R2 U2 B L B' R2 B L' B',R2 U B' F R2 B F' U R2,75
D R' U F U' R2 F U' B' F2 D2 L R B2 R2 U D B2 U D2 B' U' B U R2,x2,F R' F2 L' D,B F' U' B' F,B' F U2 F' U B,L' U B' U2 B L,F' U F,B2 U2 B' U2 B2,,F L F L' U' F',L' B2 D' R D B2 L,R U B U' B' R',R B L' B' R' B L B',U' L2 F2 L B L' F2 L B' L,L2 U B F' L2 B' F U L2,76
R2 B2 R F2 D U L U' F B' U' F2 L' D B F U' F' U' L2 R2,x2,U2 B2 D2 B R,B L' U2 L B',L2 F2 L2 F2,,R U2 R',L2 D2 R D2 L2,B' U2 R' U' R U2 B,L2 B2 D2 R' D2 B2 L2,,F' U2 F R B2 L' B' L U2 B' R',R U R' U R U2 R',B' R B' L2 B R' B' L2 B2,,63
R2 B F' R2 D2 R2 D2 U B' D2 R2 F R F' D2 U L2 R' U D' R2 D2 F',x2,R' B D F' D2 L,R' U' R,,F' U2 F2 U' F',,L2 D' U B2 D,,L2 B2 D2 R' D2 B2 L2,B' R2 U' R U R2 B,R B U B' U' R',R B R' F R B' R' F',U2,B2 U' L' R B2 L R' U' B2,57
B' F2 R2 B F' R2 B L F2 R' D R' D2 L' D2 B2 F2 L2 D' R2 D' L' R D' F2,x2,L D2 L' R' D,R2 B' R2 B,B' U2 B,U' F U F',R' D2 L D2 R,L2 D' B L U' L' U B2 D,U' L2 U2 L' U2 L2,B2 D2 F' D2 B2,R' U2 B' R B U2 R,F' U2 F R B2 L' B' L U2 B' R',R' U' R U' R' U2 R,R2 F2 R' B' R F2 R' B R',L2 F2 D2 R2 B F D2 L2 B F,85
R' U' R F' B' L2 D2 B' L U2 B2 R' U' L' U' L' R2 F D2 R' U2 D',x2,L2 F2 R' D F,B L' U2 L B',L2 F2 L2 F2,F U F',F' U F,L2 D' L U L' B' D L2,U L2 U2 L' U2 L2,L' U2 B' U2 B U2 L,R' U2 B' R2 B U2 R,,L F' L' B L F L' B',U2,L2 F2 D2 R2 B F D2 L2 B F,67
R' D F' L' U B2 L B' D B' U F' D R' F' R F2 L2 U' B2 D B' U2 L R2,x2,L' F' D L2,R2 B' R2 B,L F' U2 F L',L' U2 L,R U' R',L2 D' B L U' L' U B2 D,R2 D U B D' U' R2,B2 D2 F' D2 B2,B L2 D F' D' L2 B',L' U' B' U B L,,U' L2 F2 L B L' F2 L B' L,R2 U B' F R2 B F' U R2,72
F' D' U2 R2 L2 U' B' D L2 R F2 U2 L' B F L' U2 F R2 D',x2,L2 R2 F R D' R2,R2 F2 R2 F2,L2 B L2 B',F U F',R U R',L2 D' B L U' L' U B2 D,R2 D U B D' U' R2,B2 D2 F D2 B2,,L' U' B' U B L,L2 B2 L' F2 L B2 L' F2 L',R2 F2 R' B' R F2 R' B R',B2 U' L' R B2 L R' U' B2,74
L' U' D2 L B2 L' D U' F' B U2 B R' F D' L B F2 U' L' B2,x2,F' U' L2 B D B,B' R' U R2 B R',L2 F2 L2 F2,F U F',F' U' F,B2 U2 B U2 B2,U' L2 U2 L' U2 L2,B2 D2 F' D2 B2,B L2 D F' D' L2 B',L U F U' F' L',B L F L' B' L F' L',L' B L' F2 L B' L' F2 L2 U,L2 U' B F' L2 B' F U' L2,78
D U' R2 L F D2 U' F' D' B U' R' U R D' F R' B' U2 F' B2,x2,B U' B2 L' F',B U2 B',B' F U2 F' U B,U F2 L F2 L',R U2 B' R B R2,B' U' L' B L B,R2 D2 L' D2 R2,L B2 D F2 D' B2 L',R' U2 B' R B U2 R,R' U' F' U F R,F U' B' U F' U' B,L' B L' F2 L B' L' F2 L2,,72
D' B' L' U F2 L2 F U B' D L' B2 U2 B' R2 L2 F' R2 B2 L D',x2,R' B' L D' B,R' U R,B' U' B,F U' F',R U2 R',L2 D2 R D2 L2,B' U2 R' U2 R U2 B,B2 D2 F D2 B2,R' U2 B' R B U2 R,,B' U2 B U B' U B,R B' R F2 R' B R F2 R2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,69
R' F' U L' R F2 B2 R' U' F2 B D2 U2 R U' D2 L2 D B L' R D' F L2,x2,L2 D' F' D' B2,R' U2 R,F U B' U' B F',L' U' L,R U R',L2 D2 R' D2 L2,L' D2 B' R B D2 L,B2 D2 F' D2 B2,,R U B U' B' R',B' U2 B F' D F2 U F2 D' L2 F,U',,55
B' F' D B2 R2 U2 B' R B' D' F' R D L2 U2 D B U L B2 R2 D2,x2,F' U B' D2 L2,R U R2 U2 R,B' U2 B,F' U2 F2 U' F',R2 B' R' B U2 R',L2 D2 R' D2 L2,L' D2 B' R B D2 L,U B2 D2 F D2 B2,R' U2 B' R2 B U2 R,L U F U' F' L',B U2 B2 U' B2 U' B2 U2 B,U' L2 F2 L B L' F2 L B' L,R2 U' B' F R2 B F' U' R2,83
